,baron_0to1,goldDiff - TOP_-56to0,goldDiff - JG_-85to0,goldDiff - MID_-81to0,goldDiff - ADC_-102to0,goldDiff - SUPP_-21to0,item0 - TOPB_NoItem,item0 - SUPPR_NoItem,item0 - SUPPR_WardingTotem,item0 - SUPPR_OracleLens,item0 - JGB_WardingTotem,item0 - MIDB_NoItem,item0 - MIDB_FarsightAlteration,item0 - ADCB_NoItem,item0 - ADCB_WardingTotem,item0 - ADCB_FarsightAlteration,item0 - SUPPB_NoItem,item0 - SUPPB_WardingTotem,item0 - SUPPB_OracleLens,item0 - MIDR_NoItem,item0 - MIDR_FarsightAlteration,item0 - ADCR_NoItem,item0 - ADCR_WardingTotem,item0 - ADCR_FarsightAlteration,level - TOPB_0to3,level - TOPB_3to6,level - SUPPR_0to2,level - SUPPR_2to4,level - SUPPR_8to9,level - SUPPR_9to10,level - SUPPR_10to12,level - JGB_0to3,level - JGB_3to5,level - JGB_10to11,level - JGB_11to12,level - MIDB_0to3,level - MIDB_3to6,level - MIDB_12to14,level - ADCB_0to2,level - ADCB_2to4,level - ADCB_9to11,level - SUPPB_0to2,level - SUPPB_2to4,level - SUPPB_8to9,level - SUPPB_9to10,level - TOPR_0to3,level - TOPR_3to6,level - TOPR_13to15,level - JGR_0to3,level - JGR_3to5,level - JGR_9to10,level - MIDR_0to3,level - MIDR_3to6,level - MIDR_11to13,level - MIDR_13to14,level - ADCR_0to2,level - ADCR_2to4,level - ADCR_9to11,level - ADCR_13to15,minute_0to4,minute_4to7,minute_24to28,positionX - SUPPR_13009to13581,positionX - SUPPR_13581to14572,positionX - ADCR_4881to7121,positionX - ADCR_13694to14568,positionY - ADCB_157to1239,positionY - ADCB_1775to2405,positionY - ADCB_7049to7827,positionY - SUPPB_283to1283,positionY - ADCR_2587to3641,wardsKilled - SUPPR_0to1,wardsKilled - JGB_0to1,wardsKilled - ADCB_0to1,wardsKilled - SUPPB_0to1,wardsKilled - JGR_0to1,wardsKilled - MIDR_0to1,wardsKilled - ADCR_0to1,xpDiff - TOP_-151to0,xpDiff - JG_-140to0,xpDiff - MID_-11to18,xpDiff - ADC_-102to0,xpDiff - SUPP_-49to0,xpDiff - SUPP_1102to6910,wardsPlaced - SUPPB
4875,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4876,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
4877,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
4878,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
4879,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
4880,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4881,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4882,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True
4883,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4884,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4885,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True
4886,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
4887,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
4888,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False
4889,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
4890,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
